City,Region,State,Country,Latitude,Longitude,Population,WaterPollution,AirQuality
New York,New York,NY,United States of America,40.714,-74.007,8804190.0,49.5049505,46.81603774
Washington,District of Columbia,DC,United States of America,38.895,-77.036,689545.0,49.10714286,66.12903226
San Francisco,California,CA,United States of America,37.78,-122.414,873965.0,43.0,60.51401869
Los Angeles,California,CA,United States of America,34.052,-118.243,3898747.0,61.29943503,36.62162162
Alexandria,Virginia,VA,United States of America,38.805,-77.047,159467.0,46.15384615,89.0625
Boston,Massachusetts,MA,United States of America,42.359,-71.057,675647.0,32.91139241,78.23529412
Saginaw,Michigan,MI,United States of America,43.445,-84.022,44202.0,70.0,85.0
Saginaw,Michigan,MI,United States of America,43.433,-83.939,41679.0,70.0,85.0
San Antonio,Texas,TX,United States of America,29.423,-98.49,1434625.0,50.67567568,63.41463415
Chicago,Illinois,IL,United States of America,41.882,-87.628,2746388.0,53.62068966,57.43243243
Pittsburgh,Pennsylvania,PA,United States of America,40.441,-80.003,302971.0,59.61538462,58.92857143
Philadelphia,Pennsylvania,PA,United States of America,39.952,-75.164,1603797.0,55.64516129,54.28571429
Seattle,Washington,WA,United States of America,47.607,-122.338,737015.0,36.94852941,79.37062937
Baltimore,Maryland,MD,United States of America,39.289,-76.615,585708.0,64.13043478,62.5
Huntington Beach,California,CA,United States of America,33.659,-118.0,198711.0,65.625,85.71428571
Portland,Oregon,OR,United States of America,45.519,-122.679,652503.0,36.34259259,74.12280702
Indianapolis,Indiana,IN,United States of America,39.769,-86.158,887642.0,50.65789474,67.44186047
Miami,Florida,FL,United States of America,25.774,-80.192,442241.0,47.36842105,70.2020202
Detroit,Michigan,MI,United States of America,42.332,-83.047,639111.0,52.08333333,51.2195122
San Diego,California,CA,United States of America,32.716,-117.165,1386932.0,52.36486486,74.38271605
San Jose,California,CA,United States of America,37.336,-121.891,1013240.0,41.25,62.20930233
Denver,Colorado,CO,United States of America,39.739,-104.987,715522.0,36.83035714,53.1779661
