City,Region,Country,AirQuality,WaterPollution,State_Abbre
New York,New York,United States of America,46.81603774,49.5049505,NY
Washington,District of Columbia,United States of America,66.12903226,49.10714286,DC
San Francisco,California,United States of America,60.51401869,43.0,CA
Los Angeles,California,United States of America,36.62162162,61.29943503,CA
Alexandria,Virginia,United States of America,89.0625,46.15384615,VA
Boston,Massachusetts,United States of America,78.23529412,32.91139241,MA
Saginaw,Michigan,United States of America,85.0,70.0,MI
San Antonio,Texas,United States of America,63.41463415,50.67567568,TX
Chicago,Illinois,United States of America,57.43243243,53.62068966,IL
Pittsburgh,Pennsylvania,United States of America,58.92857143,59.61538462,PA
Philadelphia,Pennsylvania,United States of America,54.28571429,55.64516129,PA
Seattle,Washington,United States of America,79.37062937,36.94852941,WA
Baltimore,Maryland,United States of America,62.5,64.13043478,MD
Huntington Beach,California,United States of America,85.71428571,65.625,CA
Portland,Oregon,United States of America,74.12280702,36.34259259,OR
Indianapolis,Indiana,United States of America,67.44186047,50.65789474,IN
Miami,Florida,United States of America,70.2020202,47.36842105,FL
Detroit,Michigan,United States of America,51.2195122,52.08333333,MI
San Diego,California,United States of America,74.38271605,52.36486486,CA
San Jose,California,United States of America,62.20930233,41.25,CA
Denver,Colorado,United States of America,53.1779661,36.83035714,CO
Houston,Texas,United States of America,45.86092715,57.09459459,TX
Phoenix,Arizona,United States of America,44.29347826,47.64705882,AZ
Dallas,Texas,United States of America,63.38028169,42.69230769,TX
Fort Worth,Texas,United States of America,47.72727273,51.13636364,TX
Austin,Texas,United States of America,68.57142857,43.5,TX
El Paso,Texas,United States of America,63.75,44.64285714,TX
Memphis,Tennessee,United States of America,66.30434783,48.68421053,TN
Charlotte,North Carolina,United States of America,76.875,31.57894737,NC
Columbus,Ohio,United States of America,87.5,62.5,OH
Jacksonville,Florida,United States of America,75.65789474,66.21621622,FL
Long Beach,California,United States of America,50.0,32.69230769,CA
Laredo,Texas,United States of America,0.0,100.0,TX
Oakland,California,United States of America,72.14285714,33.33333333,CA
Sacramento,California,United States of America,55.09259259,39.89361702,CA
Honolulu,Hawaii,United States of America,74.58333333,41.51785714,HI
Providence,Rhode Island,United States of America,76.47058824,59.61538462,RI
Brooklyn,New York,United States of America,52.08333333,33.65384615,NY
Tucson,Arizona,United States of America,84.27419355,39.65517241,AZ
Aurora,Illinois,United States of America,75.0,25.0,IL
Nashville,Tennessee,United States of America,70.0,42.94871795,TN
