City,State_Abbre,Type,Population,Latitude,Longitude
New York,NY,City,8804190,40.714,-74.007
Los Angeles,CA,City,3898747,34.052,-118.243
Chicago,IL,City,2746388,41.882,-87.628
Houston,TX,City,2304580,29.76,-95.363
Phoenix,AZ,City,1608139,33.448,-112.074
Philadelphia,PA,City,1603797,39.952,-75.164
San Antonio,TX,City,1434625,29.423,-98.49
San Diego,CA,City,1386932,32.716,-117.165
Dallas,TX,City,1304379,32.781,-96.797
San Jose,CA,City,1013240,37.336,-121.891
Austin,TX,City,961855,30.268,-97.743
Jacksonville,FL,City,949611,30.328,-81.657
Fort Worth,TX,City,918915,32.754,-97.331
Columbus,OH,City,905748,39.962,-83.001
Indianapolis,IN,City,887642,39.769,-86.158
Charlotte,NC,City,874579,35.227,-80.843
San Francisco,CA,City,873965,37.78,-122.414
Seattle,WA,City,737015,47.607,-122.338
Denver,CO,City,715522,39.739,-104.987
Washington,DC,City,689545,38.895,-77.036
Nashville,TN,Metro Government,689447,36.164,-86.783
Oklahoma City,OK,City,681054,35.468,-97.516
El Paso,TX,City,678815,31.76,-106.488
Boston,MA,City,675647,42.359,-71.057
Portland,OR,City,652503,45.519,-122.679
Las Vegas,NV,City,641903,36.171,-115.144
Detroit,MI,City,639111,42.332,-83.047
Memphis,TN,City,633104,35.146,-90.052
Louisville,KY,Metro Government,633045,38.257,-85.757
Baltimore,MD,City,585708,39.289,-76.615
Milwaukee,WI,City,577222,43.042,-87.905
Albuquerque,NM,City,564559,35.084,-106.652
Tucson,AZ,City,542629,32.222,-110.973
Fresno,CA,City,542107,36.737,-119.789
Sacramento,CA,City,524943,38.577,-121.496
Kansas City,MO,City,508090,39.104,-94.583
Mesa,AZ,City,504258,33.415,-111.831
Atlanta,GA,City,498715,33.749,-84.39
Omaha,NE,City,486051,41.26,-95.94
Colorado Springs,CO,City,478961,38.832,-104.822
Raleigh,NC,City,467665,35.78,-78.639
Long Beach,CA,City,466742,33.768,-118.192
Virginia Beach,VA,City,459470,36.845,-75.974
Miami,FL,City,442241,25.774,-80.192
Oakland,CA,City,440646,37.804,-122.271
Minneapolis,MN,City,429954,44.977,-93.272
Tulsa,OK,City,413066,36.153,-95.991
Bakersfield,CA,City,403455,35.373,-119.019
Wichita,KS,City,397532,37.686,-97.338
Arlington,TX,City,394266,32.737,-97.107
Aurora,CO,City,386261,39.726,-104.847
Tampa,FL,City,384959,27.949,-82.458
New Orleans,LA,City,383997,29.957,-90.063
Cleveland,OH,City,372624,41.5,-81.694
Honolulu,HI,Census-Designated Place,350964,21.306,-157.86
Anaheim,CA,City,346824,33.833,-117.913
Lexington,KY,Urban County,322570,38.047,-84.498
Stockton,CA,City,320804,37.955,-121.293
Corpus Christi,TX,City,317863,27.797,-97.395
Henderson,NV,City,317610,36.03,-114.983
Riverside,CA,City,314998,33.983,-117.374
Newark,NJ,City,311549,40.736,-74.172
St Paul,MN,City,311527,44.946,-93.094
Santa Ana,CA,City,310227,33.745,-117.868
Cincinnati,OH,City,309317,39.105,-84.514
Irvine,CA,City,307670,33.684,-117.796
Orlando,FL,City,307573,28.543,-81.378
Pittsburgh,PA,City,302971,40.441,-80.003
St Louis,MO,City,301578,38.626,-90.191
Greensboro,NC,City,299035,36.073,-79.792
Jersey City,NJ,City,292449,40.732,-74.063
Anchorage,AK,Municipality,291247,61.218,-149.885
Lincoln,NE,City,291082,40.809,-96.7
Plano,TX,City,285494,33.02,-96.698
Durham,NC,City,283506,35.995,-78.901
Buffalo,NY,City,278349,42.886,-78.878
Chandler,AZ,City,275987,33.306,-111.841
Chula Vista,CA,City,275487,32.64,-117.082
Toledo,OH,City,270871,41.651,-83.542
Madison,WI,City,269840,43.074,-89.383
